n_k,inv_n_k,theta_index,u_index,theta_deg,u_D_meV,trial_interpolation,branch_label,source_branch,cG,clean,selection_kind,chern_hf_vpplus_band_0,vpplus_band0_chern_rounded,vp_plus_direct_gap,vp_minus_direct_gap,vp_plus_clean,vp_minus_clean,unstable_rank,cG_all_intercept,cG_all_slope,cG_all_rmse,n_C1,n_C0,fit_cG
24,0.0416666666666666,19,11,2.95,5.5,linear_interaction,lowest_energy_clean,theta_down,0.0190876638618328,True,clean,2.4240685853515344e-16,0,7.007411680508582,7.007411029680043,True,True,6,0.0827518637975784,-1.4151855777551796,0.0069484747283194,1,6,0.02378579805777925
18,0.0555555555555555,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,theta_down,-0.0032208902256928,True,clean,1.0,1,2.964927141348369,2.964927210373247,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.008058768691033946
19,0.0526315789473684,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,u_D_down,0.0213069856558909,True,clean,1.236882376124701e-16,0,9.673539394360091,9.67353935570992,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.012549568417839496
20,0.05,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,theta_up,0.021478087690007,True,clean,1.7669748230352872e-16,0,9.683932477556368,9.683932433533442,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.016591288171964508
21,0.0476190476190476,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,theta_up,0.0244678409105779,True,clean,5.190488542666156e-17,0,6.186226937642168,6.18622688719887,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.020248082235220455
22,0.0454545454545454,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,theta_down,0.023553222105848,True,clean,-1.1927080055488187e-16,0,8.842917611784692,8.842917567088548,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.023572440474544043
23,0.0434782608695652,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,theta_up,0.02377567370449,True,clean,5.853104101304388e-17,0,8.854056872737829,8.854056822460123,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.02660772408436124
24,0.0416666666666666,35,20,3.75,10.0,linear_interaction,lowest_energy_clean,u_D_down,0.0256570196272041,True,clean,-2.5510699007571957e-16,0,5.955769723531851,5.955769665700146,True,True,7,0.0933839635003395,-1.5358535065675,0.0061825417691505,1,6,0.029390067393360336
18,0.0555555555555555,28,16,3.4000000000000004,8.0,linear_interaction,lowest_energy_clean,u_D_down,-0.00204690797479,True,clean,1.0000000000000004,1,2.773725256796361,2.773725554876336,True,True,8,0.0803303396456398,-1.2939250308675885,0.0057185879686927,1,6,0.008445615708551554
19,0.0526315789473684,28,16,3.4000000000000004,8.0,linear_interaction,lowest_energy_clean,theta_down,0.0203390930086947,True,clean,-1.2700131540566127e-16,0,9.177832975386323,9.177832854992452,True,True,8,0.0803303396456398,-1.2939250308675885,0.0057185879686927,1,6,0.012229022231556197
20,0.05,28,16,3.4000000000000004,8.0,linear_interaction,lowest_energy_clean,theta_down,0.0206177927672778,True,clean,1.6565388965955818e-17,0,9.146859004981856,9.146858868637873,True,True,8,0.0803303396456398,-1.2939250308675885,0.0057185879686927,1,6,0.015634088102260385
21,0.0476190476190476,28,16,3.4000000000000004,8.0,linear_interaction,lowest_energy_clean,u_D_down,0.0217959550057046,True,clean,-2.0982826023544033e-17,0,6.582722298920068,6.582722147613595,True,True,8,0.0803303396456398,-1.2939250308675885,0.0057185879686927,1,6,0.01871486198527845
22,0.0454545454545454,28,16,3.4000000000000004,8.0,linear_interaction,lowest_energy_clean,u_D_down,0.0217165256909349,True,clean,-1.0601848938211721e-16,0,8.55751696484949,8.557516829094226,True,True,8,0.0803303396456398,-1.2939250308675885,0.0057185879686927,1,6,0.021515565515294877
