theta_deg,u_D_meV,selected_phase,selected_indirect_gap_meV,negative_indirect_gap,delta_E_ivc_minus_vp_meV_per_cell,energy_total_per_cell,vp_reference_energy_per_cell,branch_id,gap_family_label,run_id,indirect_gap,vp_reference_name,vp_reference_indirect_gap_meV,vp_plus_indirect_gap,vp_minus_indirect_gap
2.25,0.5,VP,20.791967473562607,False,1.564013010072685,-33.807506292351896,-35.37151930242458,u_D_up,single_gap,u_D_up_theta_005_u_001_warm,-0.0227652190025153,VP+,20.791967473562607,20.791967473562607,20.79196747246738
2.3,0.5,VP,21.059290104546253,False,1.5206059866653732,-33.62410613865908,-35.14471212532445,theta_up,single_gap,theta_up_theta_006_u_001_warm,-0.1036086788597359,VP+,21.059290104546253,21.059290104546253,21.05929010242987
2.35,0.5,VP,21.27926414271321,False,1.4789888999145546,-33.43556477282149,-34.91455367273605,u_D_down,single_gap,u_D_down_theta_007_u_001_warm,-0.1849159656923937,VP+,21.27926414271321,21.27926414271321,21.279264140790612
2.4,0.5,VP,21.247105412412505,False,1.4390727738305529,-33.24180026139182,-34.680873035222376,theta_up,single_gap,theta_up_theta_008_u_001_warm,-0.2674743321513375,VP+,21.247105412412505,21.247105412412505,21.24710540328049
2.45,0.5,VP,20.924310917305505,False,1.4004544673201238,-33.043067364024786,-34.44352183134491,theta_down,single_gap,theta_down_theta_009_u_001_warm,0.0116108783852908,VP+,20.924310917305505,20.924310917305505,20.924310910033576
2.5,0.5,VP,20.57129913039573,False,1.3628887102653024,-32.83948297524528,-34.202371685510585,theta_up,single_gap,theta_up_theta_010_u_001_warm,0.3737834399459672,VP+,20.57129913039573,20.57129913039573,20.57129912458485
2.55,0.5,VP,20.18796530587599,False,1.3268044166182733,-32.63050759250585,-33.957312009124124,theta_up,single_gap,theta_up_theta_011_u_001_warm,0.7177174689006378,VP+,20.18796530587599,20.18796530587599,20.187965301217183
2.6,0.5,VP,19.7742367663342,False,1.2921242895419311,-32.41612375271562,-33.70824804225755,u_D_down,single_gap,u_D_down_theta_012_u_001_warm,1.0441386474383805,VP+,19.7742367663342,19.7742367663342,19.774236762586995
2.65,0.5,VP,19.330068050143545,False,1.258774365461477,-32.19632475441867,-33.455099119880146,u_D_down,single_gap,u_D_down_theta_013_u_001_warm,1.3538223310583248,VP+,19.330068050143545,19.330068050143545,19.33006804712031
2.7,0.5,VP,18.855436938400658,False,1.2266840431105095,-31.971113089065284,-33.19779713217579,u_D_down,single_gap,u_D_down_theta_014_u_001_warm,1.5382441161113647,VP+,18.855436938400658,18.855436938400658,18.85543693595433
2.75,0.5,VP,18.35034118050397,False,1.1957861106296974,-31.74049904236046,-32.93628515299016,theta_up,single_gap,theta_up_theta_015_u_001_warm,1.250300855253343,VP+,18.35034118050397,18.35034118050397,18.350341178518818
2.8,0.5,VP,17.814795780057207,False,1.1660167544335032,-31.50449945981065,-32.67051621424415,theta_up,single_gap,theta_up_theta_016_u_001_warm,0.925415617087161,VP+,17.814795780057207,17.814795780057207,17.814795778441937
2.85,0.5,VP,17.248830732892046,False,1.137315542953214,-31.263136664423524,-32.40045220737674,u_D_down,single_gap,u_D_down_theta_017_u_001_warm,0.5641390596408904,VP+,17.248830732892046,17.248830732892046,17.248830731574323
2.9,0.5,VP,16.652489132248977,False,1.1096253839964554,-31.01643751164519,-32.126062895641645,u_D_up,single_gap,u_D_up_theta_018_u_001_warm,0.1669921829942815,VP+,16.652489132248977,16.652489132248977,16.65248913117137
2.95,0.5,VP,16.025825573349334,False,1.082892457565162,-30.764432565902,-31.84732502346716,theta_down,single_gap,theta_down_theta_019_u_001_warm,-0.2655345617986597,VP+,16.025825573349334,16.025825573349334,16.025825572465934
3.0,0.5,VP,15.36890480299256,False,1.0570661274655215,-30.50715538366994,-31.56422151113546,u_D_up,single_gap,u_D_up_theta_020_u_001_warm,-0.7329807844046279,VP+,15.36890480299256,15.36890480299256,15.368904802266789
3.05,0.5,VP,14.681800570297128,False,1.0320988355741285,-30.244641889232305,-31.276740724806434,u_D_up,single_gap,u_D_up_theta_021_u_001_warm,-1.2349148392945182,VP+,14.681800570297128,14.681800570297128,14.681800569699549
3.1,0.5,VP,13.964594643012347,False,1.007945982620754,-29.97692983080353,-30.984875813424285,u_D_down,single_gap,u_D_down_theta_022_u_001_warm,-1.77093205306711,VP+,13.964594643012347,13.964594643012347,13.964594642519415
3.1500000000000004,0.5,VP,13.217375960472918,False,0.9845657990619934,-29.704058306275986,-30.68862410533798,theta_up,single_gap,theta_up_theta_023_u_001_warm,-2.3406527399156527,VP+,13.217375960472918,13.217375960472918,13.21737596006536
3.2,0.5,VP,12.440239899608825,False,0.9619192092204116,-29.42606734934382,-30.387986558564233,u_D_up,single_gap,u_D_up_theta_024_u_001_warm,-2.943720161970827,VP+,12.440239899608825,12.440239899608825,12.440239899271235
3.25,0.5,VP,11.633287634702755,False,0.9399696914250661,-29.142997568120524,-30.08296725954559,theta_up,single_gap,theta_up_theta_025_u_001_warm,-3.5797985314144327,VP+,11.633287634702755,11.633287634702755,11.63328763442274
3.3,0.5,VP,10.796625575011824,False,0.9186831364623593,-28.85488982955994,-29.7735729660223,u_D_down,single_gap,u_D_down_theta_026_u_001_warm,-4.248571112056556,VP+,10.796625575011824,10.796625575011824,10.796625574779103
3.35,0.5,VP,9.930364867089905,False,0.8980277062611428,-28.561784984017656,-29.4598126902788,u_D_up,single_gap,u_D_up_theta_027_u_001_warm,-4.949738451128711,VP+,9.930364867089905,9.930364867089905,9.930364866896143
3.4000000000000004,0.5,VP,9.034620950783076,False,0.8779736943772392,-28.263723625163124,-29.141697319540363,theta_up,single_gap,theta_up_theta_028_u_001_warm,-5.683016755434712,VP+,9.034620950783076,9.034620950783076,9.034620950621552
3.45,0.5,VP,8.109513159539052,False,0.8584933895456608,-27.960745881175303,-28.819239270720963,u_D_down,single_gap,u_D_down_theta_029_u_001_warm,-6.4481364145627325,VP+,8.109513159539052,8.109513159539052,8.10951315940419
3.5,0.5,VP,7.155164356967026,False,0.8395609432953108,-27.65289123376399,-28.492452177059302,u_D_up,single_gap,u_D_up_theta_030_u_001_warm,-7.244840667782184,VP+,7.155164356967026,7.155164356967026,7.155164356854263
3.55,0.5,VP,6.171700602589752,False,0.8211522423939996,-27.34019836205287,-28.16135060444687,theta_up,single_gap,theta_up_theta_031_u_001_warm,-8.072884406940842,VP+,6.171700602589752,6.171700602589752,6.171700602495351
3.6,0.5,VP,5.159250840535007,False,0.8032447866941297,-27.02270500877192,-27.825949795466048,u_D_up,single_gap,u_D_up_theta_032_u_001_warm,-8.932033105330788,VP+,5.159250840535007,5.159250840535007,5.159250840455831
