theta_deg,u_D_meV,fit_status,rmse_cG_fit,valid_fit,phase_grey_mask
2.5,4.0,fit_ok_best5,3.5664815450111604e-06,True,False
2.5,4.5,fit_ok_best5,3.3021435716082098e-06,True,False
2.5,5.0,fit_ok_best5,3.2752078819155203e-06,True,False
2.5,5.5,fit_ok_best5,2.8715234099977197e-06,True,False
2.5,6.0,fit_ok_best5,1.2240809873820807e-06,True,False
2.5,6.5,fit_ok_best5,1.1258228981067693e-06,True,False
2.5,7.0,fit_ok_best5,4.265366301171736e-07,True,False
2.5,7.5,fit_ok_best5,3.7323644315268043e-07,True,False
2.5,8.0,fit_ok_best5,6.299508513699382e-07,True,False
2.5,8.5,fit_ok_best5,8.903494563503322e-07,True,False
2.5,9.0,fit_ok_best5,1.932161148544037e-06,True,False
