theta_deg,u_D_meV,fit_status,cG_inf,rmse_cG_fit,selected_cG_inf_lt_m0p02,percent_error
2.25,16.5,fit_ok_best5,0.0006812119476008,3.040481429415866e-07,False,
2.25,17.0,fit_ok_best5,0.0006559167904224,2.94099068862883e-07,False,
2.25,17.5,fit_ok_best5,0.0006324993379726,2.8470948660930113e-07,False,
2.25,18.0,fit_ok_best5,0.0006107306251459,2.759163439359127e-07,False,
2.25,18.5,fit_ok_best5,0.000590427127087,2.6768780825029424e-07,False,
2.25,19.0,fit_ok_best5,0.0005714377675565,2.599782215374562e-07,False,
2.25,19.5,fit_ok_best5,0.0005536355352343,2.5274253148624773e-07,False,
2.25,20.0,fit_ok_best5,0.0005369118622202,2.459396932465366e-07,False,
2.3,0.0,fit_ok_best5,-0.0699248844535904,7.801906915698656e-05,True,0.11157554247911318
2.3,0.5,fit_ok_best5,-0.0698430391123179,0.0001839057431165,True,0.26331291629614295
2.3,1.0,fit_ok_best5,-0.0705070095150613,6.265491685355259e-05,True,0.08886338717878627
2.3,1.5,fit_ok_best5,-0.0678731571212391,0.0001247484081396,True,0.18379638347567492
2.3,2.0,fit_ok_best5,-0.0527597902237701,0.0002454977762817,True,0.4653122676198489
2.3,2.5,fit_ok_best5,0.0112550834844597,4.66697350171727e-06,False,
2.3,3.0,fit_ok_best5,0.0088822224549328,2.8114387753657184e-06,False,
2.3,3.5,fit_ok_best5,0.0073334640175894,1.668166131572598e-06,False,
2.3,4.0,fit_ok_best5,0.0062682080677007,1.5846069674452592e-06,False,
2.3,4.5,fit_ok_best5,0.0054658853750877,1.7259738047491787e-06,False,
2.3,5.0,fit_ok_best5,0.004605186834673,2.7308897552773323e-06,False,
2.3,5.5,fit_ok_best5,0.0041034625684989,2.1452088181316016e-06,False,
2.3,6.0,fit_ok_best5,0.0036264494951563,4.144564990397393e-07,False,
2.3,6.5,fit_ok_best5,0.003291742529229,3.709405996121806e-07,False,
2.3,7.0,fit_ok_best5,0.0029923523917557,2.573089367729725e-07,False,
2.3,7.5,fit_ok_best5,0.0027458612805864,3.2976705102875673e-07,False,
2.3,8.0,fit_ok_best5,0.0025086415979527,1.132904118629676e-06,False,
2.3,8.5,fit_ok_best5,0.002196215857959,8.99618202876371e-07,False,
2.3,9.0,fit_ok_best5,0.002026109786393,2.263922728193386e-07,False,
2.3,9.5,fit_ok_best5,0.0018841064718813,3.1421605324181166e-08,False,
2.3,10.0,fit_ok_best5,0.0017608100711509,2.9047282029551597e-07,False,
2.3,10.5,fit_ok_best5,0.0016389349596647,6.136549435519734e-07,False,
2.3,11.0,fit_ok_best5,0.0014803924335922,5.883423759700217e-07,False,
2.3,11.5,fit_ok_best5,0.001380016161665,3.303018307963394e-07,False,
2.3,12.0,fit_ok_best5,0.0013031717867253,4.402535541622912e-07,False,
2.3,12.5,fit_ok_best5,0.0012364716108976,5.667969330349291e-07,False,
2.3,13.0,fit_ok_best5,0.0011327904703592,4.698037520089352e-07,False,
2.3,13.5,fit_ok_best5,0.0010663102743171,4.485542831109339e-07,False,
2.3,14.0,fit_ok_best5,0.0010138054040864,4.885060874786222e-07,False,
2.3,14.5,fit_ok_best5,0.0009616803848119,4.6146013260297227e-07,False,
2.3,15.0,fit_ok_best5,0.0009029243638257,3.5889637609982834e-07,False,
2.3,15.5,fit_ok_best5,0.000863385805342,3.548295269342398e-07,False,
2.3,16.0,fit_ok_best5,0.0008279508667395,3.534948323376667e-07,False,
2.3,16.5,fit_ok_best5,0.0007957826223252,3.451213186180627e-07,False,
2.3,17.0,fit_ok_best5,0.0007663113760144,3.348076644906798e-07,False,
2.3,17.5,fit_ok_best5,0.0007391259961142,3.244398175446112e-07,False,
2.3,18.0,fit_ok_best5,0.0007139183246433,3.1454187866899233e-07,False,
2.3,18.5,fit_ok_best5,0.0006904488879044,3.052233508308927e-07,False,
2.3,19.0,fit_ok_best5,0.0006685255939379,2.9647645432621226e-07,False,
2.3,19.5,fit_ok_best5,0.0006479902869021,2.882633094720981e-07,False,
2.3,20.0,fit_ok_best5,0.0006287100096468,2.805410579162123e-07,False,
2.35,0.0,fit_ok_best5,-0.069426970884374,0.0001186572302474,True,0.17090941565780787
2.35,0.5,fit_ok_best5,-0.0713393968607576,4.89280272127168e-05,True,0.06858486245435463
2.35,1.0,fit_ok_best5,-0.0702580645656685,0.000171175344237,True,0.2436380012674653
2.35,1.5,fit_ok_best5,-0.0673511529882232,0.000290287693046,True,0.43100627111277334
2.35,2.0,fit_ok_best5,-0.062120758740283,0.0001823194995898,True,0.2934920681700763
2.35,2.5,fit_ok_best5,0.0135441349648225,5.673627778386185e-06,False,
2.35,3.0,fit_ok_best5,0.0103764812382084,3.4243549314089965e-06,False,
2.35,3.5,fit_ok_best5,0.0084731007153314,2.1683405579392944e-06,False,
2.35,4.0,fit_ok_best5,0.0072031072882598,1.9069164007884412e-06,False,
2.35,4.5,fit_ok_best5,0.0062605064927674,1.876104467204043e-06,False,
2.35,5.0,fit_ok_best5,0.0052811193315853,2.7371203102424088e-06,False,
2.35,5.5,fit_ok_best5,0.0046958578282031,1.5949949136484031e-06,False,
2.35,6.0,fit_ok_best5,0.004156655429727,1.0151581373376222e-06,False,
2.35,6.5,fit_ok_best5,0.0037652302395079,7.022957884352261e-07,False,
2.35,7.0,fit_ok_best5,0.0034225299294371,6.174552373082812e-07,False,
2.35,7.5,fit_ok_best5,0.0031414471560783,3.9857673741830826e-07,False,
2.35,8.0,fit_ok_best5,0.0028855360805111,2.720032450617142e-07,False,
2.35,8.5,fit_ok_best5,0.0025274892054129,1.9839242153674205e-06,False,
2.35,9.0,fit_ok_best5,0.0023230519398189,2.370757817948621e-07,False,
2.35,9.5,fit_ok_best5,0.0021668925677521,1.2340006172361714e-07,False,
2.35,10.0,fit_ok_best5,0.0020165780228609,1.1732309360610886e-07,False,
2.35,10.5,fit_ok_best5,0.0018907478781529,2.453849604473393e-07,False,
2.35,11.0,fit_ok_best5,0.0017663961335826,8.582251729961203e-07,False,
2.35,11.5,fit_ok_best5,0.0016006244204241,5.240095829594947e-07,False,
2.35,12.0,fit_ok_best5,0.0014989748891041,3.3859394779059386e-07,False,
2.35,12.5,fit_ok_best5,0.0014206226549112,4.46509499497581e-07,False,
2.35,13.0,fit_ok_best5,0.0013526066408583,5.822859735172737e-07,False,
2.35,13.5,fit_ok_best5,0.0012440580014771,5.094835758826704e-07,False,
2.35,14.0,fit_ok_best5,0.001175020881628,4.640482741414436e-07,False,
2.35,14.5,fit_ok_best5,0.0011382933299986,5.214349239098185e-07,False,
2.35,15.0,fit_ok_best5,0.0010663730391748,5.448387133804536e-07,False,
2.35,15.5,fit_ok_best5,0.0010034901732013,4.051961946518294e-07,False,
2.35,16.0,fit_ok_best5,0.0009614295613108,3.82755361905032e-07,False,
2.35,16.5,fit_ok_best5,0.0009236719988269,3.843168808339151e-07,False,
2.35,17.0,fit_ok_best5,0.0008893347917618,3.773805167705591e-07,False,
2.35,17.5,fit_ok_best5,0.0008578273433903,3.672528087054746e-07,False,
2.35,18.0,fit_ok_best5,0.0008287215750215,3.565856022094687e-07,False,
2.35,18.5,fit_ok_best5,0.0008016953493087,3.4622548548940804e-07,False,
2.35,19.0,fit_ok_best5,0.0007764979322822,3.363987571836153e-07,False,
2.35,19.5,fit_ok_best5,0.0007529281530295,3.271388300231242e-07,False,
