b1,u1,cG_nk18,cG_nk19,cG_nk20,cG_nk21,cG_nk22,cG_nk_last_minus_first,cG_span_across_computed_n_k
-0.08,0.02,-0.07244802297650399,-0.07246745440810609,-0.07248524975935466,-0.07250144187316229,-0.07251611633422916,-6.809335772517411e-05,6.809335772517411e-05
-0.08,0.04,-0.07243237023132121,-0.07245338653174091,-0.0724725109219311,-0.07248982715951066,-0.07250546013859754,-7.30899072763358e-05,7.30899072763358e-05
-0.08,0.06,-0.07241843190840297,-0.07244083072642138,-0.07246111455773485,-0.07247941173496406,-0.07249588150140562,-7.744959300265419e-05,7.744959300265419e-05
-0.08,0.08,-0.07240575005226847,-0.07242938272194918,-0.07245070161538239,-0.0724698748598232,-0.07248709233123235,-8.134227896387791e-05,8.134227896387791e-05
-0.08,0.1,-0.07239401760970687,-0.07241877186083664,-0.07244103195692009,-0.07246100215889618,-0.07247890014058535,-8.488253087847453e-05,8.488253087847453e-05
-0.06,-0.1,-0.07264551441973754,-0.07264393007258416,-0.07264390355991997,-0.07264489159291831,-0.07264651915936328,-1.004739625734552e-06,2.615599443311911e-06
-0.06,-0.08,-0.07258548183606953,-0.0725902664798431,-0.07259569675486141,-0.07260137923302354,-0.07260706265002614,-2.158081395661759e-05,2.158081395661759e-05
-0.06,-0.06,-0.07254226984466977,-0.07255170836266034,-0.07256109163797324,-0.07257015027638922,-0.07257873293215102,-3.646308748124494e-05,3.646308748124494e-05
-0.06,-0.04,-0.07250976812351037,-0.07252270756292609,-0.07253504748564565,-0.07254661951254979,-0.07255735235066753,-4.758422715715749e-05,4.758422715715749e-05
-0.06,-0.02,-0.07248426588364335,-0.07249992501887581,-0.07251455354103589,-0.07252806558774372,-0.07254045454198413,-5.618865834078335e-05,5.618865834078335e-05
-0.06,0,-0.07246345127131684,-0.0724812941358145,-0.07249775646875294,-0.07251282071794682,-0.07252653341535606,-6.308214403921708e-05,6.308214403921708e-05
-0.06,0.02,-0.07244585062884584,-0.07246550390698142,-0.07248348507098598,-0.07249983418113767,-0.0725146423822518,-6.879175340596122e-05,6.879175340596122e-05
-0.06,0.04,-0.07243050604093709,-0.07245170512217453,-0.07247098276435032,-0.07248842863159155,-0.07250417216698507,-7.366612604797762e-05,7.366612604797762e-05
-0.06,0.06,-0.07241678487272921,-0.07243933836923336,-0.07245975210910774,-0.07247815934625748,-0.072494723120388,-7.793824765879587e-05,7.793824765879587e-05
-0.06,0.08,-0.07240426423175715,-0.07242803040279545,-0.07244946165593476,-0.07246873027272141,-0.07248602934400446,-8.17651122473062e-05,8.17651122473062e-05
-0.06,0.1,-0.07239265904109239,-0.07241752996472042,-0.07243988849687027,-0.07245994242863074,-0.07247791217859822,-8.525313750583352e-05,8.525313750583352e-05
-0.04,-0.1,-0.07263299824397081,-0.07263275439246961,-0.07263388066168606,-0.07263586352321147,-0.07263835282684472,-5.354582873914882e-06,5.598434375114758e-06
-0.04,-0.08,-0.07257717695188881,-0.07258287631840665,-0.07258908492220228,-0.07259543307480734,-0.07260168874367198,-2.451179178317164e-05,2.451179178317164e-05
-0.04,-0.06,-0.07253650751813584,-0.07254658632879898,-0.07255651046130263,-0.07256602888676886,-0.07257500484080887,-3.849732267302564e-05,3.849732267302564e-05
-0.04,-0.04,-0.07250557658474847,-0.0725189786080413,-0.07253170744184897,-0.07254360884497915,-0.07255462259938669,-4.904601463821823e-05,4.904601463821823e-05
-0.04,-0.02,-0.07248106645139793,-0.07249707181064088,-0.07251199065263114,-0.07252574809885924,-0.07253834606211608,-5.727961071815002e-05,5.727961071815002e-05
-0.04,0,-0.07246089289435939,-0.07247900454754372,-0.07249569204933999,-0.07251094652593819,-0.0725248212149653,-6.39283206059077e-05,6.39283206059077e-05
-0.04,0.02,-0.07244371741570131,-0.07246358680691348,-0.07248174906311092,-0.07249825124019826,-0.07251318987695268,-6.947246125137141e-05,6.947246125137141e-05
-0.04,0.04,-0.07242866415297358,-0.07245004245043538,-0.07246947044156357,-0.07248704354212937,-0.07250289563078416,-7.423147781057682e-05,7.423147781057682e-05
-0.04,0.06,-0.07241515118850611,-0.07243785705650146,-0.07245839884797391,-0.07247691462544537,-0.07249357114437771,-7.841995587160033e-05,7.841995587160033e-05
-0.04,0.08,-0.07240278737302094,-0.07242668545610567,-0.0724482278043258,-0.07246759076688528,-0.07248497058895273,-8.21832159317859e-05,8.21832159317859e-05
-0.04,0.1,-0.07239130760725523,-0.0724162940209285,-0.07243875005731118,-0.07245888696721087,-0.07247692786550157,-8.562025824633557e-05,8.562025824633557e-05
-0.02,-0.1,-0.0726215368892541,-0.0726225287020625,-0.07262471505117435,-0.07262761086644487,-0.07263088960196888,-9.35271271478022e-06,9.35271271478022e-06
-0.02,-0.08,-0.07256946715251113,-0.07257601722856349,-0.07258294858069603,-0.07258991407535635,-0.07259669987550095,-2.723272298982282e-05,2.723272298982282e-05
-0.02,-0.06,-0.07253108444063786,-0.07254176471822166,-0.07255219646325026,-0.07256214610430925,-0.07257149070387769,-4.040626323983942e-05,4.040626323983942e-05
-0.02,-0.04,-0.07250157946567372,-0.07251542056431617,-0.07252851840650651,-0.07254073224176985,-0.07255201240723422,-5.043294156049927e-05,5.043294156049927e-05
-0.02,-0.02,-0.07247797852673199,-0.07249431585858417,-0.07250951307415633,-0.07252350583224179,-0.07253630422625586,-5.832569952386735e-05,5.832569952386735e-05
-0.02,0,-0.07245839841324522,-0.07247677017300257,-0.07249367563461021,-0.0725091142975213,-0.0725231458719672,-6.474745872198095e-05,6.474745872198095e-05
-0.02,0.02,-0.07244162096258933,-0.07246170111434666,-0.07248004006161865,-0.07249669164577865,-0.07251175764258645,-7.013667999712647e-05,7.013667999712647e-05
-0.02,0.04,-0.07242684389120008,-0.0724483980241204,-0.07246797361336001,-0.07248567167788614,-0.07250163042346949,-7.478653226941634e-05,7.478653226941634e-05
