n_k,b_index,u_index,b1,u1,status,response_status,cG,path_indirect_gap_min_mev,negative_path_indirect_gap,hf_all_converged,hf_nonconverged,reference_chern_valid,invalid_reference_chern,chern_vp_plus,chern_vp_minus,chern_ivc,vp_plus_gap_mev,vp_minus_gap_mev,ivc_gap_mev,any_reference_direct_gap_nonpositive,invalid_chern_with_nonpositive_reference_direct_gap
21,11,6,0.01,-0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,False,True,False,True,1.0,-0.9999999999999997,0.1140428238377799,25.21351306713678,25.21351306713678,2.1412610064400592,False,False
21,11,7,0.01,-0.03,ok,ok,-0.06216724565227088,0.6647512821942628,False,True,False,True,False,0.9999999999999999,-1.0,3.189909211830555e-11,25.441145057747786,25.441145057747786,2.092742105497406,False,False
21,11,8,0.01,-0.02,ok,ok,-0.07106507564577799,0.18552019593073385,False,True,False,True,False,0.9999999999999986,-0.9999999999999986,3.247996179349731e-05,25.66010563528514,25.660105635285124,2.129334567759305,False,False
21,11,9,0.01,-0.01,ok,ok,-0.06915985345112016,0.8030470213218891,False,True,False,True,False,1.0000000000000002,-1.0,-5.309478628108031e-05,25.87075320003656,25.870753200036564,2.326281135445811,False,False
21,11,10,0.01,0.0,ok,ok,-0.06939725995745466,1.1246588134178268,False,True,False,True,False,1.0000000000000007,-1.0000000000000007,-6.774943784220064e-05,26.000952227531343,26.000952227531325,2.648687161050337,False,False
21,11,11,0.01,0.01,ok,ok,-0.08210300107883906,0.3460540761888939,False,True,False,True,False,0.9999999999999996,-0.9999999999999997,-7.805747289291558e-05,25.90396788204574,25.903967882045748,2.534459400315901,False,False
21,11,12,0.01,0.02,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999999,-1.0,0.9792987536681099,25.81065267451203,25.810652674512042,1.0346733157986403,False,False
21,11,13,0.01,0.03,ok,ok,-0.06490671941785647,0.93801002309613,False,True,False,True,False,1.0000000000000007,-1.0000000000000002,0.0008419945211442648,25.720903390791936,25.720903390791932,0.9938599666529923,False,False
21,11,14,0.01,0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0,-0.9999999999999999,-3.024251694121458,25.63461557627356,25.63461557627356,0.95145986511958,False,False
21,11,15,0.01,0.05,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999989,-0.9999999999999991,0.9895688598313513,25.551683889842117,25.551683889842117,0.9118593700686596,False,False
21,11,16,0.01,0.06,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999993,-0.9999999999999989,0.02582388629633262,25.472002451756918,25.472002451756918,0.8747975308814274,False,False
21,11,17,0.01,0.07,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0,-0.9999999999999997,0.9878941415983772,25.395465182533364,25.39546518253337,0.8714913651712592,False,False
21,11,18,0.01,0.08,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999993,-0.9999999999999993,-2.035049238506164,25.32196613013859,25.3219661301386,0.8073942937062287,False,False
21,11,19,0.01,0.09,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000004,-0.9999999999999997,-2.9687745452817946,25.25139978306309,25.25139978306309,0.7766673724079158,False,False
21,11,20,0.01,0.1,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999997,-0.9999999999999997,-2.9232700775377025,25.183661367123115,25.18366136712311,0.7477015191765259,False,False
21,12,0,0.02,-0.1,ok,ok,-0.05721494085355546,0.39017668334859784,False,True,False,True,False,0.9999999999999993,-0.9999999999999996,-2.6080130126351726e-17,23.717927750957777,23.71792775095777,0.3902205059080601,False,False
21,12,1,0.02,-0.09,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999993,-0.9999999999999991,0.9999999997446934,24.003268858917014,24.00326885891702,1.6399830499835333,False,False
21,12,2,0.02,-0.08,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-1.0000000000000002,-1.0000000000341773,24.277328309126524,24.277328309126524,1.9276090140545554,False,False
21,12,3,0.02,-0.07,ok,ok,-0.05743082234486761,0.251343457910127,False,True,False,True,False,0.9999999999999999,-0.9999999999999996,1.0018031120970532e-16,24.540652972923706,24.540652972923706,0.25126765629424014,False,False
21,12,4,0.02,-0.06,ok,ok,-0.05748832252370246,0.2131764861390217,False,True,False,True,False,0.9999999999999993,-0.9999999999999994,-5.090545312281529e-17,24.7937439831694,24.7937439831694,0.2130518582314768,False,False
21,12,5,0.02,-0.05,ok,ok,-0.057540077106862014,0.1781428692238656,False,True,False,True,False,0.9999999999999996,-0.9999999999999996,-1.0381514069521514e-16,25.03706364767795,25.03706364767795,0.17796012711135176,False,False
